Round,AUV,box_loss,cls_loss,dfl_loss,Prec,Rec,mAP50,mAP50-95
33,24,1.373,0.8782,1.135,,,,
33,27,1.313,0.7375,1.106,,,,
33,28,1.415,0.9975,1.29,,,,
34,1,1.311,0.7466,1.1,,,,
34,2,1.309,0.8551,1.138,,,,
34,3,1.345,0.7871,1.131,,,,
34,12,1.276,0.7089,1.089,,,,
34,13,1.299,0.7744,1.183,,,,
34,15,1.437,0.9111,1.155,,,,
34,19,1.243,0.8131,1.076,,,,
34,20,1.395,0.9123,1.224,,,,
34,21,1.376,0.9551,1.154,,,,
34,22,1.405,0.8182,1.174,,,,
34,24,1.406,0.9432,1.143,,,,
34,27,1.322,0.7262,1.107,,,,
34,28,1.375,0.9445,1.245,,,,
35,1,1.305,0.7366,1.1,,,,
35,2,1.392,0.8505,1.207,,,,
35,3,1.391,0.8138,1.171,,,,
35,12,1.275,0.6986,1.089,,,,
35,13,1.314,0.8232,1.151,,,,
35,15,1.486,0.9309,1.163,,,,
35,19,1.232,0.8222,1.059,,,,
35,20,1.374,0.8863,1.192,,,,
35,21,1.397,0.8954,1.187,,,,
35,22,1.427,0.8349,1.178,,,,
35,24,1.408,0.9249,1.166,,,,
35,27,1.303,0.7189,1.105,,,,
35,28,1.404,0.9636,1.28,,,,
36,1,1.294,0.7315,1.092,,,,
36,2,1.411,0.8513,1.207,,,,
36,3,1.418,0.8124,1.153,,,,
36,12,1.257,0.6805,1.081,,,,
36,13,1.342,0.8631,1.205,,,,
36,15,1.518,0.9286,1.181,,,,
36,19,1.287,1.006,1.058,,,,
36,20,1.403,0.9458,1.231,,,,
36,21,1.382,0.8458,1.154,,,,
36,22,1.484,0.8311,1.207,,,,
36,24,1.416,0.9327,1.169,,,,
36,27,1.28,0.6929,1.094,,,,
36,28,1.396,1.005,1.264,,,,
37,1,1.285,0.7176,1.091,,,,
37,2,1.418,0.8949,1.207,,,,
37,3,1.364,0.7901,1.148,,,,
37,12,1.254,0.6771,1.072,,,,
37,13,1.453,0.8594,1.259,,,,
37,15,1.49,0.9283,1.165,,,,
37,19,1.266,0.89,1.114,,,,
37,20,1.407,0.915,1.234,,,,
37,21,1.454,0.8999,1.182,,,,
37,22,1.485,0.8603,1.195,,,,
37,24,1.418,0.8954,1.16,,,,
37,27,1.283,0.6877,1.094,,,,
37,28,1.396,0.9785,1.289,,,,
38,1,1.267,0.7119,1.082,,,,
38,2,1.39,0.8569,1.209,,,,
38,3,1.401,0.8033,1.15,,,,
38,12,1.231,0.663,1.067,,,,
38,13,1.34,0.8049,1.165,,,,
38,15,1.502,0.8999,1.167,,,,
38,19,1.247,0.7862,1.048,,,,
38,20,1.443,0.9051,1.251,,,,
38,21,1.386,0.89,1.147,,,,
38,22,1.487,0.8053,1.171,,,,
38,24,1.413,0.9237,1.145,,,,
38,27,1.274,0.6849,1.086,,,,
38,28,1.439,1.037,1.307,,,,
39,1,1.264,0.7011,1.078,,,,
39,2,1.461,0.8828,1.229,,,,
39,3,1.441,0.8171,1.153,,,,
39,12,1.246,0.6679,1.071,,,,
39,13,1.358,0.8112,1.189,,,,
39,15,1.458,0.9139,1.174,,,,
39,19,1.207,0.8003,1.036,,,,
39,20,1.408,0.9028,1.209,,,,
39,21,1.411,0.9087,1.19,,,,
39,22,1.44,0.861,1.19,,,,
39,24,1.387,0.8965,1.15,,,,
39,27,1.273,0.6886,1.087,,,,
39,28,1.402,0.9374,1.277,,,,
40,1,1.274,0.7032,1.08,,,,
40,2,1.312,0.8549,1.132,,,,
40,3,1.436,0.8184,1.155,,,,
40,12,1.244,0.6631,1.076,,,,
40,13,1.392,0.8476,1.234,,,,
40,15,1.478,0.9104,1.179,,,,
40,19,1.243,0.7914,1.094,,,,
40,20,1.398,0.8667,1.216,,,,
40,21,1.369,0.8568,1.13,,,,
40,22,1.461,0.8008,1.196,,,,
40,24,1.367,0.8909,1.141,,,,
40,27,1.258,0.6724,1.081,,,,
40,28,1.455,1.057,1.295,,,,
